timestamp,city,country,lat,lon,weather,weather_code,temp,feels_like,humidity,wind_speed,sunrise,sunset,uv_index,uv_alert,air_quality,air_quality_label,air_alert,holiday,time_of_day,mood
2026-04-09 13:46:53,Washington DC,US,38.9072,-77.0369,broken clouds,803,61,59,38,7,06:40,19:38,6.7,high,3,Moderate,good,none,afternoon,rainy
2026-04-09 13:46:54,New York,US,40.7128,-74.006,few clouds,801,53,50,50,13,06:26,19:28,6.5,high,3,Moderate,good,none,afternoon,sunny
2026-04-09 13:46:56,Los Angeles,US,34.0522,-118.2437,overcast clouds,804,71,71,56,6,09:29,22:19,4.9,moderate,2,Fair,good,none,afternoon,rainy
2026-04-09 13:46:57,Chicago,US,41.8781,-87.6298,scattered clouds,802,66,65,39,2,07:19,20:24,6.2,high,2,Fair,good,none,afternoon,sunny
2026-04-09 13:46:59,Miami,US,25.7617,-80.1918,overcast clouds,804,78,79,78,20,07:03,19:40,7.1,high,2,Fair,good,none,afternoon,rainy
2026-04-09 13:47:00,Seattle,US,47.6062,-122.3321,broken clouds,803,55,53,57,6,09:31,22:49,3.9,moderate,2,Fair,good,none,afternoon,rainy
2026-04-09 13:47:02,Denver,US,39.7392,-104.9903,broken clouds,803,67,65,26,7,08:31,21:31,6.3,high,2,Fair,good,none,afternoon,rainy
2026-04-09 13:47:03,Atlanta,US,33.749,-84.388,broken clouds,803,67,64,28,9,07:14,20:03,7.4,high,3,Moderate,good,none,afternoon,rainy
2026-04-09 13:47:04,Boston,US,42.3601,-71.0589,clear sky,800,57,54,24,11,06:13,19:18,6.3,high,3,Moderate,good,none,afternoon,sunny
2026-04-09 13:47:06,Phoenix,US,33.4484,-112.074,scattered clouds,802,86,83,12,5,09:05,21:54,5.9,moderate,3,Moderate,good,none,afternoon,sunny
